t_max_24,t_min_24,td_mean_24,ws_mean_24,c_mean_24,rh_mean_day,p_max_24,p_min_24
0.03225806451612903,0.5287517531556802,0.6374474053295933,0.1584852734922861,0.85273492286115,0.8541374474053296,0.48667601683029454,0.5582047685834503
0.2713884992987377,0.5287517531556802,0.758765778401122,0.22019635343618513,0.9663394109396914,0.835203366058906,0.48667601683029454,0.5582047685834503
0.1402524544179523,0.5287517531556802,0.9004207573632539,0.05329593267882188,0.8478260869565217,0.85273492286115,0.48667601683029454,0.3485273492286115
0.2713884992987377,0.5287517531556802,0.7727910238429172,0.270687237026648,0.6423562412342216,0.729312762973352,0.48667601683029454,0.1774193548387097
0.6500701262272089,0.211781206171108,0.46143057503506313,0.20757363253856942,0.5511921458625526,0.4586255259467041,0.258765778401122,0.1774193548387097
0.6500701262272089,0.5287517531556802,0.884992987377279,0.4340813464235624,0.49368863955119213,0.8597475455820477,0.258765778401122,0.3485273492286115
0.8387096774193549,0.211781206171108,0.426367461430575,0.8085553997194951,0.08415147265077139,0.35624123422159887,0.10238429172510519,0.07363253856942496
0.9530154277699859,0.5287517531556802,0.38288920056100983,0.8751753155680224,0.4277699859747546,0.32398316970546986,0.024544179523141654,0.0021037868162692847
0.001402524544179523,0.211781206171108,0.7671809256661991,0.001402524544179523,0.9908835904628331,0.9957924263674615,0.10238429172510519,0.879382889200561
0.6500701262272089,0.9964936886395512,0.6984572230014026,0.8892005610098177,0.38779803646563815,0.5161290322580645,0.258765778401122,0.1774193548387097
0.8387096774193549,0.8380084151472651,0.573632538569425,0.8415147265077139,0.38779803646563815,0.3884992987377279,0.258765778401122,0.07363253856942496
0.1402524544179523,0.8380084151472651,0.6374474053295933,0.07433380084151472,0.667601683029453,0.8807854137447405,0.258765778401122,0.3485273492286115
0.2713884992987377,0.04908835904628331,0.4684431977559607,0.9481065918653576,0.6458625525946704,0.6493688639551192,0.258765778401122,0.3485273492286115
0.2713884992987377,0.211781206171108,0.3534361851332398,0.20196353436185133,0.6661991584852734,0.5315568022440392,0.258765778401122,0.5582047685834503
0.45091164095371666,0.211781206171108,0.45161290322580644,0.485273492286115,0.623422159887798,0.6241234221598878,0.48667601683029454,0.3485273492286115
0.8387096774193549,0.211781206171108,0.4838709677419355,0.8401122019635343,0.4179523141654979,0.5525946704067322,0.258765778401122,0.07363253856942496
0.8387096774193549,0.5287517531556802,0.4277699859747546,0.5217391304347826,0.1332398316970547,0.33660589060308554,0.258765778401122,0.1774193548387097
0.9530154277699859,0.5287517531556802,0.3758765778401122,0.5525946704067322,0.20196353436185133,0.2187938288920056,0.258765778401122,0.3485273492286115
0.6500701262272089,0.5287517531556802,0.4726507713884993,0.5778401122019635,0.2650771388499299,0.4431977559607293,0.48667601683029454,0.3485273492286115
0.8387096774193549,0.5287517531556802,0.520336605890603,0.6269284712482468,0.17391304347826086,0.39831697054698456,0.10238429172510519,0.020336605890603085
0.9530154277699859,0.8380084151472651,0.32748948106591863,0.9228611500701263,0.635343618513324,0.19214586255259467,0.48667601683029454,0.3485273492286115
0.8387096774193549,0.5287517531556802,0.19635343618513323,0.3758765778401122,0.30014025245441794,0.15988779803646563,0.7215988779803647,0.5582047685834503
0.8387096774193549,0.5287517531556802,0.26788218793828894,0.46984572230014027,0.4838709677419355,0.23422159887798036,0.7215988779803647,0.5582047685834503
0.8387096774193549,0.8380084151472651,0.4957924263674614,0.7629733520336606,0.46143057503506313,0.40953716690042075,0.48667601683029454,0.5582047685834503
0.6500701262272089,0.5287517531556802,0.6739130434782609,0.638148667601683,0.7671809256661991,0.6002805049088359,0.48667601683029454,0.3485273492286115
0.6500701262272089,0.5287517531556802,0.8892005610098177,0.4011220196353436,0.8190743338008415,0.7447405329593267,0.258765778401122,0.1774193548387097
0.2713884992987377,0.8380084151472651,0.9817671809256662,0.18934081346423562,0.9908835904628331,0.8401122019635343,0.10238429172510519,0.07363253856942496
0.6500701262272089,0.5287517531556802,0.9726507713884993,0.37307152875175315,0.8920056100981767,0.8751753155680224,0.10238429172510519,0.07363253856942496
0.6500701262272089,0.8380084151472651,0.9782608695652174,0.015427769985974754,0.726507713884993,0.6984572230014026,0.10238429172510519,0.07363253856942496
0.06732117812061711,0.8380084151472651,0.9635343618513323,0.3127629733520337,0.6977559607293128,0.9158485273492286,0.258765778401122,0.1774193548387097
0.1402524544179523,0.8380084151472651,0.9389901823281908,0.3611500701262272,0.8695652173913043,0.9424964936886395,0.258765778401122,0.5582047685834503
0.03225806451612903,0.8380084151472651,0.9915848527349228,0.004207573632538569,0.9971949509116409,0.9845722300140253,0.258765778401122,0.1774193548387097
0.45091164095371666,0.8380084151472651,0.9172510518934082,0.844319775596073,0.844319775596073,0.8709677419354839,0.10238429172510519,0.3485273492286115
