local_date,station,c_mean_24,p_max_24,p_min_24,ra1_sum_24,ra3_sum_24,rh_mean_24,t_mean_24,t_max_24,t_min_24,td_mean_24,tn6_min_24,tx6_max_24,v_min_24,wg_max_24,wmx_max_24,ws_mean_24,ws_max_24,c_mean_day,ra1_sum_day,rh_mean_day,rh_min_day,t_max_day,tx6_max_day,wg_max_day,wmx_max_day,ws_mean_day,ws_max_day,c_mean_night,ra1_sum_night,rh_mean_night,rh_max_night,t_min_night,tn6_min_night,wg_max_night,wmx_max_night,ws_mean_night,ws_max_night
2021-01-21,FACT,11.153846,1015.0,1011.0,0.0,0.0,72.74231,20.346153,26.0,16.0,15.038462,,,9999.0,,17.0,6.9692307,11.3,10.0,0.0,67.10667,47.3,26.0,,,17.0,7.6466675,11.3,14.333333,0.0,79.73999,88.1,16.0,,,15.4,5.1266656,10.8
2021-01-22,FACT,16.25,1012.0,1010.0,0.0,0.0,74.9125,21.833334,27.0,16.0,16.958334,,,9999.0,,,4.9874997,8.2,11.153846,0.0,68.06923,51.0,27.0,,,,6.0461535,8.2,73.05556,0.0,92.82779,100.0,18.0,,,,4.4444437,8.2
2021-01-23,FACT,69.833336,1015.0,1008.0,0.0,0.0,80.46,20.6,26.0,17.0,16.633333,,,300.0,,,4.293333,7.2,56.785713,0.0,66.95714,41.7,26.0,,,,4.1285715,6.7,52.8125,0.0,73.28124,93.9,17.0,,,,6.468749,9.8
2021-01-24,FACT,15.8,1018.0,1013.0,0.0,0.0,55.064,20.2,23.0,17.0,10.72,,,9999.0,,19.5,9.88,14.9,13.928572,0.0,49.857143,43.7,23.0,,,19.5,12.2,14.9,0.0,0.0,61.386677,72.4,16.0,,,,5.0666656,11.3
2021-01-25,FACT,0.0,1014.0,1009.0,0.0,0.0,57.343998,21.92,30.0,16.0,12.36,,,9999.0,,,4.8399997,7.7,0.0,0.0,45.414288,30.9,30.0,,,,5.1142855,6.7,10.714286,0.0,82.48571,93.8,17.0,,,,6.9499993,8.7
2021-01-26,FACT,16.346153,1014.0,1011.0,0.0,0.0,72.11154,20.961538,24.0,17.0,15.5,,,1000.0,,,9.765385,13.4,18.333334,0.0,63.806664,53.6,24.0,,,,11.100001,13.4,19.285715,0.0,79.957146,88.1,18.0,,,,7.5785704,10.3
2021-01-27,FACT,25.625,1018.0,1013.0,0.0,0.0,66.25833,20.375,24.0,18.0,13.416667,,,9999.0,,,9.175,13.4,40.0,0.0,55.738464,41.1,24.0,,,,10.723078,13.4,3.5714285,0.0,70.85714,82.4,16.0,,,,7.0857134,10.3
2021-01-28,FACT,0.0,1018.0,1016.0,0.0,0.0,60.112003,20.04,24.0,16.0,11.72,,,9999.0,,15.4,6.76,9.8,0.0,0.0,51.15714,43.7,24.0,,,15.4,7.892856,9.8,16.875,0.0,76.1625,87.8,13.0,,,,2.3125,7.2
2021-01-29,FACT,18.076923,1018.0,1014.0,0.0,0.0,67.253845,19.461538,25.0,13.0,12.653846,,,9999.0,,,4.1115384,8.7,28.0,0.0,55.59333,44.0,25.0,,,,4.9333334,8.7,38.214287,0.0,80.214294,93.9,17.0,,,,3.707142,7.7
2021-01-30,FACT,46.25,1016.0,1012.0,0.0,0.0,66.32083,21.958334,26.0,17.0,14.916667,,,9999.0,,,3.425,5.7,55.76923,0.0,55.007694,47.5,26.0,,,,3.7153845,5.7,58.333332,0.0,76.96666,88.2,19.0,,,,3.7066665,5.7
2021-01-31,FACT,79.62963,1013.0,1009.0,0.0,0.0,81.474075,20.25926,23.0,18.0,16.925926,,,2500.0,,,5.388889,9.8,80.35714,0.0,79.70715,69.0,23.0,,,,6.9857135,9.8,46.875,0.0,78.71875,93.9,16.0,,,,6.96875,9.8
2021-02-01,FACT,7.2916665,1016.0,1014.0,0.0,0.0,55.787502,20.583334,26.0,16.0,10.916667,,,9999.0,,14.4,8.545834,11.8,0.0,0.0,45.476925,36.5,26.0,,,14.4,9.561539,11.8,0.0,0.0,61.387505,77.1,15.0,,,,2.8937497,8.2
2021-02-02,FACT,0.0,1015.0,1012.0,0.0,0.0,53.876926,22.807692,32.0,15.0,11.807693,,,9999.0,,,3.6615381,8.2,0.0,0.0,41.666664,27.0,32.0,,,,3.186667,6.2,0.0,0.0,80.21429,88.2,18.0,,,,7.2714276,8.2
2021-02-03,FACT,6.25,1014.0,1011.0,0.0,0.0,72.166664,21.0,24.0,18.0,15.541667,,,9999.0,,,8.525,11.3,5.769231,0.0,63.453842,47.0,24.0,,,,9.607693,11.3,25.0,0.0,79.92,88.2,19.0,,,,7.4399996,10.3
2021-02-04,FACT,16.346153,1016.0,1013.0,0.0,0.0,71.534615,21.461538,25.0,19.0,15.923077,,,9999.0,,17.5,8.438461,13.4,16.666666,0.0,66.886665,53.8,25.0,,,17.5,9.893334,13.4,3.5714285,0.0,80.521416,88.2,18.0,,,,5.307142,8.2
2021-02-05,FACT,8.333333,1016.0,1014.0,0.0,0.0,74.94583,21.208334,26.0,18.0,16.375,,,9999.0,,15.4,6.870833,12.9,15.384615,0.0,67.46154,57.4,26.0,,,15.4,7.9153852,12.9,8.571428,0.0,86.05715,93.9,19.0,,,15.4,7.2357135,10.3
2021-02-06,FACT,21.0,1016.0,1013.0,0.0,0.0,75.82,21.84,26.0,19.0,17.16,,,9999.0,,,7.3919997,9.3,23.571428,0.0,69.685715,57.4,26.0,,,,8.099998,9.3,43.57143,0.0,78.41429,88.3,20.0,,,,6.007142,8.2
2021-02-07,FACT,24.583334,1016.0,1014.0,0.0,0.0,64.708336,21.208334,24.0,19.0,13.958333,,,9999.0,,,8.666667,12.3,26.538462,0.0,55.12308,46.7,24.0,,,,10.400001,12.3,11.785714,0.0,68.02856,72.7,18.0,,,,7.349999,11.3
2021-02-08,FACT,19.166666,1016.0,1013.0,0.0,0.0,67.86667,21.458334,25.0,18.0,15.125,,,9999.0,,,8.1875,11.8,24.23077,0.0,62.05384,53.8,25.0,,,,8.86154,11.8,16.071428,0.0,82.30001,88.3,19.0,,,,8.699999,11.8
2021-02-09,FACT,11.458333,1014.0,1013.0,0.0,0.0,73.879166,22.041666,25.0,19.0,17.0,,,9999.0,,,9.983333,14.4,15.384615,0.0,66.176926,57.4,25.0,,,,10.953847,14.4,3.3333333,0.0,80.26,88.2,19.0,,,,7.719999,12.3
2021-02-10,FACT,0.0,1013.0,1010.0,0.0,0.0,73.908005,21.84,25.0,19.0,16.88,,,9999.0,,,8.108001,11.8,0.0,0.0,70.06428,60.9,25.0,,,,9.035715,11.8,0.0,0.0,81.67858,88.2,19.0,,,,6.121428,8.2
2021-02-11,FACT,18.75,1011.0,1009.0,0.0,0.0,77.19584,22.041666,26.0,19.0,17.625,,,9999.0,,,7.1708336,11.3,11.538462,0.0,68.62308,57.4,26.0,,,,7.746155,11.3,70.0,0.0,92.13333,94.0,20.0,,,,6.8866653,10.8
2021-02-12,FACT,44.23077,1009.0,1007.0,0.0,0.0,80.861534,22.192308,26.0,20.0,18.538462,,,4000.0,,,7.56923,10.8,44.642857,0.0,73.435715,61.1,26.0,,,,8.700002,10.8,5.357143,0.0,84.23571,88.3,16.0,,,,4.8428564,10.3
2021-02-13,FACT,7.2916665,1011.0,1007.0,0.0,0.0,77.00416,21.5,26.0,16.0,17.041666,,,9999.0,,,4.7166667,8.7,5.769231,0.0,67.907684,57.6,26.0,,,,6.2923074,8.7,48.666668,0.0,91.040016,93.9,19.0,,,,3.3066664,6.2
